file,source_version,group_index,family,stage,semantic_keys,descriptors,dxbc_sha256,raw_hlsl_sha256,selection_reason
raw-reference/g002-Grass-VS-1.6-0F2CA4B96EC27F87.hlsl,1.6,2,Grass,VS,2|VS|0;2|VS|1;2|VS|2;2|VS|3;2|VS|4;2|VS|5;2|VS|6;2|VS|65536;2|VS|65537;2|VS|65538;2|VS|65539;2|VS|65540;2|VS|65541;2|VS|65542,0x00000000;0x00000001;0x00000002;0x00000003;0x00000004;0x00000005;0x00000006;0x00010000;0x00010001;0x00010002;0x00010003;0x00010004;0x00010005;0x00010006,0F2CA4B96EC27F879D6228EE9B06A2E37E4F159271D7154852A5715ADE36361E,50FF1C63A2C71D7C521A4D4AAB34D951EB0715B536EE61111DB368E4CFD2B2A2,RunGrass legacy comparison algorithm
raw-reference/g024-ImageSpace-ISRadialBlurHigh-PS-1.6-1AF48B04C6C4D846.hlsl,1.6,24,ImageSpace::ISRadialBlurHigh,PS,24|PS|0,0x00000000,1AF48B04C6C4D84649CE54E4DB7F95A444CED5CD758E6014C49C02276C89B09B,5F611F69E667447112674B27C6A78397F2BFFC8F4CB45EC76081FDD2C2AD0EB0,legacy image-space forward-port comparison algorithm
raw-reference/g115-ImageSpace-ISMinifyContrast-PS-1.6-2CDB0031570F8256.hlsl,1.6,115,ImageSpace::ISMinifyContrast,PS,115|PS|0,0x00000000,2CDB0031570F82568937231E476098E56401DA754CADD7921A97151FF3A95CAC,2C3022540A324EC44AE85BAF98D99D5459B59777AF66DBAB400FEA92392DB8B5,legacy image-space forward-port comparison algorithm
raw-reference/g007-Utility-PS-1.6-35FDF46B9429DD96.hlsl,1.6,7,Utility,PS,7|PS|17178626,0x01062002,35FDF46B9429DD96184E02432010A1930F47D5E56EA1DBFCA993C1A5D82411CE,8662BFEB30344E535677E3D2C1A5EE90E51DE99B6DD35C0C1EC718CDDC465A45,legacy Utility selector comparison algorithm
raw-reference/g017-ImageSpace-ISDepthOfField-PS-1.6-3F4843BB947A582C.hlsl,1.6,17,ImageSpace::ISDepthOfField,PS,17|PS|0,0x00000000,3F4843BB947A582C681A6C476C9D8C393F10A3095E98CF42F12BAB89F2AA822F,F03DC0D6517A8042892F5DB259BAE071C3AE6C603B81C4334EBF7C8D4D9BF313,legacy image-space forward-port comparison algorithm
raw-reference/g072-ImageSpace-ISDistantBlurFogged-PS-1.6-65A9695A9FE8510D.hlsl,1.6,72,ImageSpace::ISDistantBlurFogged,PS,72|PS|0,0x00000000,65A9695A9FE8510DDBF7713B04DF8BF783E1CE9D03FD619106963ECCCE9C6860,9CA34E8A96CF07D89F961DFC8E0DDDB7D6827A9F8A763B5DA6B24834F4A4B037,legacy image-space forward-port comparison algorithm
raw-reference/g023-ImageSpace-ISRadialBlurMedium-PS-1.6-7AD00322309C83EA.hlsl,1.6,23,ImageSpace::ISRadialBlurMedium,PS,23|PS|0,0x00000000,7AD00322309C83EA3FE45FEACC5A26AFA37754C69EA0D3D50FFBCB58DC0ADF1D,EECEE1DEEC62EDEE5A91276AC2D79A6DDCBD148835F764B63F70B5911393A818,legacy image-space forward-port comparison algorithm
raw-reference/g002-Grass-VS-1.6-8E72853C1765004A.hlsl,1.6,2,Grass,VS,2|VS|65543;2|VS|65544;2|VS|7;2|VS|8,0x00000007;0x00000008;0x00010007;0x00010008,8E72853C1765004A84A362066F0D706824BFD8FB4318980EF7B9F7E407B82D48,52322DDBD96FC8B5C609E2709FB5A6FF0D934FA148C7B24CA2DDD3109EAE4818,RunGrass legacy comparison algorithm
raw-reference/g070-ImageSpace-ISDepthOfFieldFogged-PS-1.6-8F405894078CBDBE.hlsl,1.6,70,ImageSpace::ISDepthOfFieldFogged,PS,70|PS|0,0x00000000,8F405894078CBDBE680C6CA58D4AACD9DFB4893E17A558851A858D16042DC9B9,7977F1EE92FA8F7D3DDCE38AA30429FF69D1C921A15C62C130FF02307B1BE58E,legacy image-space forward-port comparison algorithm
raw-reference/g007-Utility-PS-1.6-952961B1153CAA32.hlsl,1.6,7,Utility,PS,7|PS|4595970,0x00462102,952961B1153CAA328C2960E6167CB6BDF4E8B397A27A26B5BAB09C500159258C,372D72087CF2A54677DB72A802CC95A5674BD76B74B91BDFCC0307F2A0A55ABE,legacy Utility selector comparison algorithm
raw-reference/g018-ImageSpace-ISDistantBlur-PS-1.6-9784CE121BE78FB7.hlsl,1.6,18,ImageSpace::ISDistantBlur,PS,18|PS|0,0x00000000,9784CE121BE78FB750AB45C6F4CBCA439000F3C178D67F47618B87AEEEABD18E,7B963DBFF4364252572B8653FD5951F889964F843C65B7FAEB5234476F40EAAC,legacy image-space forward-port comparison algorithm
raw-reference/g015-ImageSpace-ISDoubleVision-PS-1.6-A305E0759978EC0E.hlsl,1.6,15,ImageSpace::ISDoubleVision,PS,15|PS|0,0x00000000,A305E0759978EC0E04E126D30AD866DFCAAFD69327FF85E0EBCB7E412597FF15,2764C0694763FC0F92001368B9BB8D4F0E1C5987819285032447FA8FD8290AF5,legacy image-space forward-port comparison algorithm
raw-reference/g022-ImageSpace-ISRadialBlur-PS-1.6-A3D5079E32EF775C.hlsl,1.6,22,ImageSpace::ISRadialBlur,PS,22|PS|0,0x00000000,A3D5079E32EF775CDBB76DF0722BE827FA7A68349681EC96B0933326230A058A,FC2890D8C5BD7A4D8E108A81E1872F10DF6F7422F41F4E78A9E491AA4F67C0E7,legacy image-space forward-port comparison algorithm
raw-reference/g005-Effect-PS-1.6-A825AE8F7D2D9EE2.hlsl,1.6,5,Effect,PS,5|PS|67110912,0x04000800,A825AE8F7D2D9EE2F6DCDA1C754DAE3BEDB4891BB6A117A732E4F775FDF6025E,76ACF936C9A0E09DF3EBC5DB0CF898EC7825163475D1BBA433C14B39E2C240D3,removed Effect 0x04000800 evidence; no safe remap
raw-reference/g002-Grass-PS-1.6-AC01983BEBEB34F1.hlsl,1.6,2,Grass,PS,2|PS|65536;2|PS|65537;2|PS|65538;2|PS|65539;2|PS|65540;2|PS|65541;2|PS|65542,0x00010000;0x00010001;0x00010002;0x00010003;0x00010004;0x00010005;0x00010006,AC01983BEBEB34F15C4CCE451CB48A240E032AF871EA993501D37B5DCB17174E,761834D141A713573CE0FFCC801784322833E1CE1CCE390F67BDB2574B3CA58F,RunGrass legacy comparison algorithm
raw-reference/g073-ImageSpace-ISDistantBlurMaskedFogged-PS-1.6-AFE4B24E6B803301.hlsl,1.6,73,ImageSpace::ISDistantBlurMaskedFogged,PS,73|PS|0,0x00000000,AFE4B24E6B80330149EEFD30A0DEE1CA358663FC366180B85D4249F9725EA022,431A74DEB40BF10EFB182EB2668C4A4B1BC67E81117927357B47BFA131F3F6EB,legacy image-space forward-port comparison algorithm
raw-reference/g006-Lighting-PS-1.6-B4412B63789C82EB.hlsl,1.6,6,Lighting,PS,6|PS|1,0x00000001,B4412B63789C82EB0632F1C65FCB47F5AA7AE2E0EA148771A920D535F8838DF7,A4D26139C3326739B0DE2FCEE3FFD4989505C603E2BE69EF14E1D9F89A070096,representative Lighting MRT comparison
raw-reference/g005-Effect-VS-1.6-B550EE2A97912AFC.hlsl,1.6,5,Effect,VS,5|VS|67110912,0x04000800,B550EE2A97912AFCDF82C9492C84E1BF7FB5FD3103397A80147DE9C7B0E79A3C,AD2E62D62338B0BA77CCF6E1B0434FC847544C43A3EAD4A16510BBFB1068891F,removed Effect 0x04000800 evidence; no safe remap
raw-reference/g002-Grass-PS-1.6-B94C28DD9918D165.hlsl,1.6,2,Grass,PS,2|PS|0;2|PS|1;2|PS|2;2|PS|3;2|PS|4;2|PS|5;2|PS|6,0x00000000;0x00000001;0x00000002;0x00000003;0x00000004;0x00000005;0x00000006,B94C28DD9918D165DEE176CAE718AFC9517C6B442AB6BF2A5F9C238CB938661D,D1CE0EA2340ECD77A5504A984C4934FB4AA6C149611750BB44EAE09056C5153F,RunGrass legacy comparison algorithm
raw-reference/g002-Grass-PS-1.6-C32EAD0504611512.hlsl,1.6,2,Grass,PS,2|PS|65543;2|PS|65544;2|PS|7;2|PS|8,0x00000007;0x00000008;0x00010007;0x00010008,C32EAD0504611512EB1AAB2C252AFE09289FF6FCDB21AF1A61FC973240724CE8,9060BE3F84113A0FAF160DACC7616CB9BC8444E8434EC82AC5015C636B6CCE92,RunGrass legacy comparison algorithm
raw-reference/g007-Utility-PS-1.6-C4CBAD093C60E31F.hlsl,1.6,7,Utility,PS,7|PS|2498818,0x00262102,C4CBAD093C60E31F5408842D3FBBA1A7DE14268059E425723326785456C3D80D,6A30300516BDBF4C1CA4B95B0D3C31094600497B5207C9230D76B9DD016BD1ED,legacy Utility selector comparison algorithm
raw-reference/g114-ImageSpace-ISMinify-PS-1.6-D9D6D59E4A3FD5B7.hlsl,1.6,114,ImageSpace::ISMinify,PS,114|PS|0,0x00000000,D9D6D59E4A3FD5B771DA8004B167B120FDA0680F96E5A1F8431218AE09F98302,895AB1FC1E7273C2AA00099EA255C1748E851EC1CDBF2DB036933C77EB7D4F68,legacy image-space forward-port comparison algorithm
raw-reference/g007-Utility-PS-1.6-DCEFE826B78322B5.hlsl,1.6,7,Utility,PS,7|PS|4595714,0x00462002,DCEFE826B78322B5612026134BDF2F6335D5881AE765C14B2E57B602E46C136B,53CD78D77504EB7258788110E6C2597A566BA90DA74135F0D2A7091090B834F5,legacy Utility selector comparison algorithm
raw-reference/g007-Utility-PS-1.6-E0C7E911DAAB71C4.hlsl,1.6,7,Utility,PS,7|PS|8790018,0x00862002,E0C7E911DAAB71C476AA0E3FC4BE6589E017C572E35FFC4B7FBC492AE4A1C624,A9B51F5F20F8BD35D8CCE41AFD2445513667AF6D675A1299EAE7FBDB7D68FDD1,legacy Utility selector comparison algorithm
raw-reference/g071-ImageSpace-ISDepthOfFieldMaskedFogged-PS-1.6-F286CFF4FC119C47.hlsl,1.6,71,ImageSpace::ISDepthOfFieldMaskedFogged,PS,71|PS|0,0x00000000,F286CFF4FC119C47A2A32AD9E17874743F25F00283A37D47F7EEC773B6922E47,94641D0F02468BBC700F2B07F7EE5796CA449B6C2E70E6ED6C8C654F699A6E1B,legacy image-space forward-port comparison algorithm
raw-reference/g007-Utility-PS-1.6-FA84C75EC33E992D.hlsl,1.6,7,Utility,PS,7|PS|2498562,0x00262002,FA84C75EC33E992D090654C5265DB227D0049F6226F11F21923F02470DA9324B,F7FCE91F663D4ABDF4CC621E842B03465ED3D8675EDABB8B690A64F0CC03A43D,legacy Utility selector comparison algorithm
raw-reference/g115-ImageSpace-ISMinifyContrast-PS-1.7-042D6A8840DE862A.hlsl,1.7,115,ImageSpace::ISMinifyContrast,PS,115|PS|0,0x00000000,042D6A8840DE862A9705C1BBF1307FEEAC010AF21B45BFF2270D3F234449EDF6,C537EC6015A54494ADFA64B5B8C68BB704EA26BFE3CAB92E89671CA4552D0C7B,authoritative implemented image-space algorithm
raw-reference/g002-Grass-PS-1.7-20C5B08E7EDD9E53.hlsl,1.7,2,Grass,PS,2|PS|65536;2|PS|65537;2|PS|65538;2|PS|65539;2|PS|65540;2|PS|65541;2|PS|65542,0x00010000;0x00010001;0x00010002;0x00010003;0x00010004;0x00010005;0x00010006,20C5B08E7EDD9E5302819B5371AE194E94BCE1DB768BD1FDC95EDCDCDA37191E,D3BFDB1209347A0F35673012B9669E0BFE6389B805D5DD70B50FC3CE11A0C99D,RunGrass authoritative algorithm
