; Menu::DrawSettings

$Community Shaders Version	Community Shaders {}
$Save Settings	Save Settings
$Load Settings	Load Settings
$Clear Shader Cache	Clear Shader Cache
$Clear Shader Cache Description	The Shader Cache is the collection of compiled shaders which replace the vanilla shaders at runtime. Clearing the shader cache will mean that shaders are recompiled only when the game re-encounters them. This is only needed for hot-loading shaders for development purposes.
$Clear Disk Cache	Clear Disk Cache
$Clear Disk Cache Description	The Disk Cache is a collection of compiled shaders on disk, which are automatically created when shaders are added to the Shader Cache. If you do not have a Disk Cache, or it is outdated or invalid, you will see "Compiling Shaders" in the upper-left corner. After this has completed you will no longer see this message apart from when loading from the Disk Cache. Only delete the Disk Cache manually if you are encountering issues.
$Toggle Error Message	Toggle Error Message
$Toggle Error Message Description	Hide or show the shader failure message. Your installation is broken and will likely see errors in game. Please double check you have updated all features and that your load order is correct. See CommunityShaders.log for details and check the Nexus Mods page or Discord server.
$Feature Disabled Description	Disabled at boot. Reenable, save settings, and restart.
$Feature Loading Description	Feature pending restart.
$Enable at Boot	Enable at Boot
$Disable at Boot	Disable at Boot
$$Enabled	Enabled
$Disabled	Disabled
$Enable	Enable
$Disable	Disable
$Feature State Description{}{}	Current State: {}. {} the feature settings at boot. Restart will be required to reenable. This is the same as deleting the ini file. This should remove any performance impact for the feature.
$Restore Defaults	Restore Defaults
$Restore Defaults Description	Restores the feature's settings back to their default values. You will still need to Save Settings to make these changes permanent.
$General	General
$Advanced	Advanced
$Display	Display
$Core Features	Core Features
$Features	Features
$Unloaded Features	Unloaded Features
$Menu Description	Please select an item on the left.

; Menu::DrawGeneralSettings

$Enable Shaders	Enable Shaders
$Enable Shaders Description	Disabling this effectively disables all features.
$Enable Disk Cache	Enable Disk Cache
$Enable Disk Cache Description	Disabling this stops shaders from being loaded from disk, as well as stops shaders from being saved to it.
$Enable Async	Enable Async
$Enable Async Description	Skips a shader being replaced if it hasn't been compiled yet. Also makes compilation blazingly fast!
$Keybindings	Keybindings
$Toggle Keybinding Description	Press any key to set as toggle key...
$Toggle Keybinding	Toggle Key:
$Effect Toggle Keybinding Description	Press any key to set as a toggle key for all effects...
$Effect Toggle Keybinding	Effect Toggle Key:
