; Menu::DrawSettings

$Community Shaders Version	Community Shaders {}
$Save Settings	設定を保存
$Load Settings	設定を読み込み
$Clear Shader Cache	シェーダーキャッシュをクリア
$Clear Shader Cache Description	シェーダーキャッシュは、実行時にバニラのシェーダーを置き換えるコンパイル済みシェーダーのコレクションです。クリアすると、ゲームが再度シェーダーに遭遇したときのみシェーダーが再コンパイルされます。これは、開発目的でシェーダーをホットロードする場合にのみ必要です。
$Clear Disk Cache	ディスクキャッシュをクリア
$Clear Disk Cache Description	ディスクキャッシュはディスク上のコンパイル済みシェーダーのコレクションで、シェーダーがシェーダーキャッシュに追加されると自動的に作成されます。ディスクキャッシュがない場合、または古くなっているか無効な場合は、左上隅に「シェーダーをコンパイル中」と表示されます。これが完了すると、ディスクキャッシュから読み込むとき以外はこのメッセージは表示されなくなります。問題が発生している場合のみ、ディスクキャッシュを手動で削除してください。
$Toggle Error Message	エラーメッセージを切り替え
$Toggle Error Message Description	シェーダー失敗メッセージを隠すまたは表示します。インストールが壊れており、ゲーム内でエラーが発生する可能性があります。すべての機能が更新されていることと、ロード順が正しいことを再確認してください。詳細はCommunityShaders.logを参照し、Nexus ModsページまたはDiscordサーバーを確認してください。
$Feature Disabled Description	起動時に無効化されています。再有効化し、設定を保存して再起動してください。
$Feature Loading Description	機能は再起動を待っています。
$Enable at Boot	起動時に有効化
$Disable at Boot	起動時に無効化
$Enabled	有効
$Disabled	無効
$Enable	有効化
$Disable	無効化
$Feature State Description{}{}	現在の状態: {}。起動時に機能設定を{}します。再有効化するには再起動が必要です。これはiniファイルを削除するのと同じです。これにより、機能のパフォーマンスへの影響が除去されるはずです。
$Restore Defaults	デフォルトを復元
$Restore Defaults Description	機能の設定をデフォルト値に戻します。これらの変更を永続化するには、設定を保存する必要があります。
$General	一般
$Advanced	詳細
$Display	表示
$Core Features	コア機能
$Features	機能
$Unloaded Features	未ロード機能
$Menu Description	左側の項目を選択してください。

; Menu::DrawGeneralSettings

$Enable Shaders	シェーダーを有効化
$Enable Shaders Description	これを無効にすると、すべての機能が実質的に無効になります。
$Enable Disk Cache	ディスクキャッシュを有効化
$Enable Disk Cache Description	これを無効にすると、シェーダーがディスクから読み込まれなくなり、シェーダーの保存も停止します。
$Enable Async	非同期を有効化
$Enable Async Description	まだコンパイルされていないシェーダーの置き換えをスキップします。また、コンパイルを非常に高速にします！
$Keybindings	キーバインディング
$Toggle Keybinding Description	トグルキーとして設定するキーを押してください...
$Toggle Keybinding	トグルキー:
$Effect Toggle Keybinding Description	すべてのエフェクトのトグルキーとして設定するキーを押してください...
$Effect Toggle Keybinding	エフェクトトグルキー:
$Skip Compilation Keybinding Description	コンパイルをスキップするキーを設定するにはキーを押してください...
$Skip Compilation Keybinding	コンパイルスキップキー:
$Theme	テーマ
$Sizes	サイズ
$Global Scale	グローバルスケール
$Main	メイン
$Window Padding	ウィンドウパディング
$Frame Padding	フレームパディング
$Item Spacing	アイテム間隔
$Item Inner Spacing	アイテム内間隔
$Indent Spacing	インデント間隔
$Scrollbar Size	スクロールバーサイズ
$Grab Min Size	グラブ最小サイズ
$Borders	ボーダー
$Window Border Size	ウィンドウボーダーサイズ
$Child Border Size	子ボーダーサイズ
$Popup Border Size	ポップアップボーダーサイズ
$Frame Border Size	フレームボーダーサイズ
$Tab Border Size	タブボーダーサイズ
$Tab Bar Border Size	タブバーボーダーサイズ
$Rounding	丸み
$Window Rounding	ウィンドウ丸み
$Child Rounding	子丸み
$Frame Rounding	フレーム丸み
$Popup Rounding	ポップアップ丸み
